,timestamp,GW_Temp_PT_C,alphaQf,betaQfSd,betaQfMAD,yearMonth,wetQf,GW_Level_ft
1,6/9/2021 15:10,-9999,1,0,0,2021-06,0,-9999
2,6/9/2021 15:20,-9999,1,0,0,2021-06,0,-9999
3,6/9/2021 15:30,-9999,1,0,0,2021-06,0,-9999
4,6/9/2021 15:50,-9999,1,0,0,2021-06,0,-9999
5,6/9/2021 16:00,-9999,1,0,0,2021-06,0,-9999
6,6/9/2021 16:10,-9999,1,0,0,2021-06,0,-9999
7,6/9/2021 16:20,-9999,1,0,0,2021-06,0,-9999
8,6/9/2021 17:00,13.63,0,0,0,2021-06,1,3.82
9,6/9/2021 17:30,13.63,0,0,0,2021-06,1,3.82
10,6/9/2021 18:30,13.63,0,0,0,2021-06,1,3.82
11,6/9/2021 18:40,13.63,0,0,0,2021-06,1,3.82
12,6/9/2021 18:50,13.69,0,0,0,2021-06,0,3.82
13,6/9/2021 19:00,13.63,0,0,0,2021-06,1,3.82
14,6/9/2021 19:10,13.69,0,0,0,2021-06,1,3.82
15,6/9/2021 19:20,13.63,0,0,0,2021-06,0,3.82
16,6/9/2021 19:30,13.69,0,0,0,2021-06,0,3.81
17,6/9/2021 19:40,13.63,0,0,0,2021-06,0,3.81
18,6/9/2021 19:50,13.69,0,0,0,2021-06,0,3.81
19,6/9/2021 20:00,13.63,0,0,0,2021-06,0,3.81
20,6/9/2021 20:10,13.63,0,0,0,2021-06,0,3.81
21,6/9/2021 20:20,13.69,0,0,0,2021-06,0,3.81
22,6/9/2021 20:30,13.69,0,0,0,2021-06,0,3.81
23,6/9/2021 20:40,13.63,0,0,0,2021-06,0,3.81
24,6/9/2021 20:50,13.63,0,0,0,2021-06,0,3.81
25,6/9/2021 21:00,13.63,0,0,0,2021-06,0,3.81
26,6/9/2021 21:10,13.69,0,0,0,2021-06,0,3.81
27,6/9/2021 21:20,13.63,0,0,0,2021-06,0,3.81
28,6/9/2021 21:30,13.63,0,0,0,2021-06,0,3.8
29,6/9/2021 21:40,13.69,0,0,0,2021-06,0,-9999
30,6/9/2021 21:50,13.63,0,0,0,2021-06,0,3.81
31,6/9/2021 22:00,13.63,0,0,0,2021-06,0,3.81
32,6/9/2021 22:10,13.63,0,0,0,2021-06,0,3.8
33,6/9/2021 22:20,13.63,0,0,0,2021-06,0,3.84
34,6/9/2021 22:30,13.63,0,0,0,2021-06,0,3.82
35,6/9/2021 22:40,13.63,0,0,0,2021-06,0,3.81
36,6/9/2021 22:50,13.63,0,0,0,2021-06,0,3.8
37,6/9/2021 23:00,13.63,0,0,0,2021-06,0,3.81
38,6/9/2021 23:10,13.63,0,0,0,2021-06,0,3.81
39,6/9/2021 23:20,13.69,0,0,0,2021-06,0,3.81
40,6/9/2021 23:30,13.63,0,0,0,2021-06,0,3.81
41,6/9/2021 23:40,13.63,0,0,0,2021-06,0,3.8
42,6/9/2021 23:50,13.63,0,0,0,2021-06,0,3.81
43,6/10/2021 0:00,13.63,0,0,0,2021-06,0,3.8
44,6/10/2021 0:10,13.63,0,0,0,2021-06,0,3.81
45,6/10/2021 0:20,13.63,0,0,0,2021-06,0,3.81
46,6/10/2021 0:30,13.63,0,0,0,2021-06,0,3.81
47,6/10/2021 0:40,13.63,0,0,0,2021-06,0,3.81
48,6/10/2021 0:50,13.63,0,0,0,2021-06,0,3.81
49,6/10/2021 1:00,13.63,0,0,0,2021-06,0,3.81
50,6/10/2021 1:10,13.69,0,0,0,2021-06,0,3.81
51,6/10/2021 1:20,13.63,0,0,0,2021-06,0,3.81
52,6/10/2021 1:30,13.63,0,0,0,2021-06,0,3.81
53,6/10/2021 1:40,13.63,0,0,0,2021-06,0,3.81
54,6/10/2021 1:50,13.63,0,0,0,2021-06,0,3.81
55,6/10/2021 2:00,13.63,0,0,0,2021-06,0,3.81
56,6/10/2021 2:10,13.63,0,0,0,2021-06,0,3.81
57,6/10/2021 2:20,13.69,0,0,0,2021-06,0,3.81
58,6/10/2021 2:30,13.63,0,0,0,2021-06,0,3.81
59,6/10/2021 2:40,13.69,0,0,0,2021-06,0,3.81
60,6/10/2021 2:50,13.63,0,0,0,2021-06,0,3.81
61,6/10/2021 3:00,13.69,0,0,0,2021-06,0,3.81
62,6/10/2021 3:10,13.69,0,0,0,2021-06,0,3.81
63,6/10/2021 3:20,13.69,0,0,0,2021-06,0,3.81
64,6/10/2021 3:30,13.63,0,0,0,2021-06,0,3.81
65,6/10/2021 3:40,13.63,0,0,0,2021-06,0,3.81
66,6/10/2021 3:50,13.63,0,0,0,2021-06,0,3.81
67,6/10/2021 4:00,13.63,0,0,0,2021-06,0,-9999
68,6/10/2021 4:10,13.63,0,0,0,2021-06,0,-9999
69,6/10/2021 4:20,13.69,0,0,0,2021-06,0,3.82
70,6/10/2021 4:30,13.63,0,0,0,2021-06,0,3.82
71,6/10/2021 4:40,13.63,0,0,0,2021-06,0,3.82
72,6/10/2021 4:50,13.63,0,0,0,2021-06,0,3.82
73,6/10/2021 5:00,13.63,0,0,0,2021-06,0,3.82
74,6/10/2021 5:10,13.69,0,0,0,2021-06,0,3.82
75,6/10/2021 5:20,13.63,0,0,0,2021-06,0,3.82
76,6/10/2021 5:30,13.69,0,0,0,2021-06,0,3.82
77,6/10/2021 5:40,13.63,0,0,0,2021-06,0,3.82
78,6/10/2021 5:50,13.63,0,0,0,2021-06,0,3.82
79,6/10/2021 6:00,13.63,0,0,0,2021-06,0,3.82
